character_name,character_rank,character_path,character_element,gatcha_banner,versions,pull_amount
Seele, 5 Star, The Hunt, Quantum, Butterfly on Swordtip,"1.0,1.4", 0
Jing Yuan, 5 Star, Erudition, Lightning, Swirl of Heavenly Spear, "1.0,2.0,2.7", 0
Silver Wolf, 5 Star, Nihility, Quantum, Contract Zero,"1.1,3.0", 0
Luocha, 5 Star, Abundance, Imaginary, Laic Pursuit,"1.1,2.1",0
Blade, 5 Star, Destruction, Wind, A Lost Soul, "1.2,1.6",0
Kafka, 5 Star, Nihility, Lightning, Nessun Dorma, "1.2,1.6,2.5", 0
Dan Heng IL, 5 Star, Destruction, Imaginary, Epochal Spectrum, "1.3,2.0,2.6", 0
Fu Xuan, 5 Star, Preservation, Quantum, "Foreseen, Foreknown, Foretold", "1.3,2.2", 0
Jingliu, 5 Star, Destruction, Ice, Gentle Eclipse of the Moon, "1.4,2.1",0
Topaz & Numby, 5 Star, The Hunt, Fire, Sunset Clause, "1.4,2.2,2.5", 0
Huohuo, 5 Star, Abundance, Wind, Bloom in Gloom, "1.5,2.4,3.1",0
Argenti, 5 Star, Erudition, Physcial, Thorns of Scented Crown, "1.5,2.3",0
Ruan Mei, 5 Star, Harmony, Ice, Floral Triptych,"1.6,2.3",0
Dr Ratio, 5 Star, The Hunt, Imaginary, Panta Rhei, 1.6,0
Black Swan, 5 Star, Nihility, Wind, Ripples in Reflection, "2.0,2.5",0
Sparkle, 5 Star, Harmony, Quantum, Sparkling Splendor,"2.0,2.4",0
Acheron, 5 Star, Nihility, Lightning, Words of Yore, "2.1,2.6",0
Adventurine, 5 Star, Preservation, Imaginary, Gilded Imprisonment, "2.1,2.6",0
Robin, 5 Star, Harmony, Physcial, Just Intonation, "2.2,2.5,3.0",0
Boothill, 5 Star, The Hunt, Physcial, Dusty Trail's Lone Star,"2.2,3.0",0
Firefly, 5 Star, Destruction, Fire, Firefull Flyshine, "2.3,2.7",0
Jade, 5 Star, Erudition, Quantum, "Lien of Life, Lease on Fate", "2.3,3.0",0
Yunli, 5 Star, Destruction, Physcial,"Earth Hurled, Ether Curled","2.4",0
Jiaoqiu, 5 Star, Nihility, Fire, Cauldron Contrivance,"2.4",0
Feixiao, 5 Star, The Hunt, Wind, Stormrider's Bolt,"2.5,3.0"
Lingsha, 5 Star, Abundance, Fire, Let Scent Sink In,"2.5,3.0",0
Rappa, 5 Star, Erudition, Imaginary, Eyes of a Ninja,"2.6",0
Sunday, 5 Star, Harmony, Imaginary, Eyes to the Stars,"2.7",0
Fugue, 5 Star, Nihility, Fire, The Long Voyage Home,"2.7",0
The Herta, 5 Star, Erudition, Ice, Message From Beyond, "3.0",0
Algaea, 5 Star, Rememberance, Lightning, Time Woven Into Gold,"3.0",0
